CREATE VIEW
id,filename,ref_count,sources
371,bw-bookcase-picture-v2.webp,1,products_rels
372,bw-bookcase-picture.webp,1,products_rels
357,bw-bookcase.webp,2,products.seo_og_image_id; products_rels
362,bw-console-vanity-mirror.webp,2,products.seo_og_image_id; products_rels
373,bw-nightstand-picture-v2.webp,1,products_rels
374,bw-nightstand-picture.webp,1,products_rels
358,bw-nightstand.webp,2,products.seo_og_image_id; products_rels
375,bw-scene-all-night-picture.webp,1,designs_rels
376,bw-scene-all-picture-v2.webp,1,designs_rels
377,bw-scene-all-picture.webp,1,designs_rels
378,bw-scene-half-2-picture-v2.webp,1,designs_rels
379,bw-scene-half-3-picture-v2.webp,1,designs_rels
380,bw-scene-half-3-picture-v3.webp,1,designs_rels
381,bw-scene-half-3-picture.webp,1,designs_rels
382,bw-scene-half-4-picture-v2.webp,1,designs_rels
383,bw-scene-half-picture-v2.webp,1,designs_rels
384,bw-scene-half-picture-v3.webp,1,designs_rels
385,bw-scene-half-picture-v4.webp,1,designs_rels
386,bw-scene-half-picture.webp,1,designs_rels
359,bw-single-bed-100.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
387,bw-single-bed-120-picture-v2.webp,2,product_variants.image_id; products_rels
388,bw-single-bed-120-picture.webp,1,products_rels
389,bw-standing-mirror-picture.webp,1,products_rels
360,bw-standing-mirror.webp,2,products.seo_og_image_id; products_rels
430,bw-study-chair-picture-v2.webp,2,products.seo_og_image_id; products_rels
431,bw-study-chair-picture-v3.webp,1,products_rels
432,bw-study-chair-picture.webp,1,products_rels
390,bw-study-desk-picture-v2.webp,1,products_rels
391,bw-study-desk-picture.webp,1,products_rels
361,bw-study-desk.webp,2,products.seo_og_image_id; products_rels
392,bw-vanity-3-drawers-picture-v2.webp,1,products_rels
393,bw-vanity-3-drawers-picture-v3.webp,1,products_rels
394,bw-vanity-3-drawers-picture-v4.webp,1,products_rels
395,bw-vanity-3-drawers-picture-v5.webp,1,products_rels
396,bw-vanity-3-drawers-picture.webp,1,products_rels
363,bw-vanity-3-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
364,bw-wall-mirror-round.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
365,bw-wall-shelf.webp,2,products.seo_og_image_id; products_rels
397,bw-wardrobe-1-doors-glass-picture.webp,1,products_rels
366,bw-wardrobe-1-doors-glass-v2.webp,2,products.seo_og_image_id; products_rels
367,bw-wardrobe-1-doors-glass.webp,2,product_variants.image_id; products_rels
398,bw-wardrobe-1-doors-mdf-picture.webp,1,products_rels
368,bw-wardrobe-1-doors-mdf.webp,2,product_variants.image_id; products_rels
369,bw-wardrobe-2-doors-glass.webp,2,product_variants.image_id; products_rels
399,bw-wardrobe-2-doors-mdf-picture-v2.webp,1,products_rels
400,bw-wardrobe-2-doors-mdf-picture.webp,1,products_rels
370,bw-wardrobe-2-doors-mdf.webp,2,product_variants.image_id; products_rels
401,caroline-baby-bed.webp,2,products.seo_og_image_id; products_rels
402,caroline-bed-box.webp,2,products.seo_og_image_id; products_rels
403,caroline-bookcase.webp,2,products.seo_og_image_id; products_rels
404,caroline-changing-top.webp,2,products.seo_og_image_id; products_rels
405,caroline-collection.webp,0,""
414,caroline-console-vanity-mirror.webp,2,products.seo_og_image_id; products_rels
406,caroline-convertible-bed-sofa.webp,4,product_variants.image_id; products.seo_og_image_id; products_rels
407,caroline-double-bed-160.webp,5,product_variants.image_id; products_rels
408,caroline-file-5-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
409,caroline-nightstand.webp,2,products.seo_og_image_id; products_rels
410,caroline-single-bed-100.webp,6,product_variants.image_id; products.seo_og_image_id; products_rels
411,caroline-single-bed-120.webp,3,product_variants.image_id; products_rels
412,caroline-standing-mirror.webp,2,products.seo_og_image_id; products_rels
433,caroline-study-chair-picture-v2.webp,0,""
434,caroline-study-chair-picture-v3.webp,2,products.seo_og_image_id; products_rels
435,caroline-study-chair-picture-v4.webp,0,""
436,caroline-study-chair-picture.webp,0,""
1002,caroline-study-chair-v2.webp,1,products_rels
1003,caroline-study-chair.webp,1,products_rels
413,caroline-study-desk.webp,2,products.seo_og_image_id; products_rels
415,caroline-vanity-3-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
416,caroline-vanity-6-drawers.webp,2,product_variants.image_id; products_rels
